,Area Unit,ANZSOC Division,Year,Region,Victimisations
272,Egmont Village.,Theft and Related Offences,2023,Taranaki Region,1
273,Upper Westown.,Theft and Related Offences,2023,Taranaki Region,1
274,Struan Park.,Theft and Related Offences,2023,Taranaki Region,1
275,Struan Park.,Theft and Related Offences,2023,Taranaki Region,1
276,Marsland Hill.,Theft and Related Offences,2023,Taranaki Region,1
277,Frankleigh.,Theft and Related Offences,2023,Taranaki Region,1
278,Okato.,Theft and Related Offences,2023,Taranaki Region,1
279,Westown.,Theft and Related Offences,2023,Taranaki Region,1
280,Struan Park.,Theft and Related Offences,2023,Taranaki Region,1
281,Hawera South.,Theft and Related Offences,2023,Taranaki Region,1
282,Bell Block.,Theft and Related Offences,2023,Taranaki Region,1
283,Eltham.,Theft and Related Offences,2023,Taranaki Region,1
284,Carrington.,Theft and Related Offences,2023,Taranaki Region,1
285,Stratford West.,Theft and Related Offences,2023,Taranaki Region,1
286,Stratford West.,Theft and Related Offences,2023,Taranaki Region,1
287,Lynmouth.,Theft and Related Offences,2023,Taranaki Region,1
288,Stratford West.,Theft and Related Offences,2023,Taranaki Region,1
289,Inglewood.,Theft and Related Offences,2023,Taranaki Region,1
290,Hawera South.,Theft and Related Offences,2023,Taranaki Region,1
291,Fitzroy.,Theft and Related Offences,2023,Taranaki Region,1
292,Stratford East.,Theft and Related Offences,2023,Taranaki Region,1
293,Stratford East.,Theft and Related Offences,2023,Taranaki Region,1
294,Inglewood.,Theft and Related Offences,2023,Taranaki Region,1
295,Waitara West.,Theft and Related Offences,2023,Taranaki Region,1
296,Spotswood.,Theft and Related Offences,2023,Taranaki Region,1
297,Kawaroa.,Theft and Related Offences,2023,Taranaki Region,1
298,Hawera South.,Theft and Related Offences,2023,Taranaki Region,1
299,Kawaroa.,Theft and Related Offences,2023,Taranaki Region,1
300,Kaitake.,Theft and Related Offences,2023,Taranaki Region,1
301,Inglewood.,Theft and Related Offences,2023,Taranaki Region,2
302,Hawera South.,Theft and Related Offences,2023,Taranaki Region,1
303,Moturoa.,Theft and Related Offences,2023,Taranaki Region,1
304,Waitara West.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Taranaki Region,1
305,Hawera North.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Taranaki Region,1
306,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
307,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
