,Area Unit,ANZSOC Division,Year,Region,Victimisations
424,Tikipunga West.,Theft and Related Offences,2023,Northland,1
425,Whangarei Central.,Theft and Related Offences,2023,Northland,1
426,Sherwood Rise.,Theft and Related Offences,2023,Northland,1
427,Onerahi.,Theft and Related Offences,2023,Northland,1
428,Mangapa-Matauri Bay.,Theft and Related Offences,2023,Northland,1
429,Whangarei Central.,Theft and Related Offences,2023,Northland,1
430,Tikipunga West.,"Robbery, Extortion and Related Offences",2023,Northland,1
431,Kensington.,Acts Intended to Cause Injury,2023,Northland,1
432,Sherwood Rise.,Theft and Related Offences,2023,Northland,1
433,Dargaville.,Acts Intended to Cause Injury,2023,Northland,1
434,Maunu.,Acts Intended to Cause Injury,2023,Northland,1
