,Area Unit,ANZSOC Division,Year,Region,Victimisations
394,Ravensbourne.,Acts Intended to Cause Injury,2023,Otago Region,1
395,Clutha.,Acts Intended to Cause Injury,2023,Otago Region,1
396,Stuart St-Frederick St.,Acts Intended to Cause Injury,2023,Otago Region,1
397,Stuart St-Frederick St.,Acts Intended to Cause Injury,2023,Otago Region,1
398,St Clair.,Theft and Related Offences,2023,Otago Region,1
399,Forrester Park.,Theft and Related Offences,2023,Otago Region,1
400,Cape Wanbrow.,Theft and Related Offences,2023,Otago Region,2
401,High St-Stuart St.,Theft and Related Offences,2023,Otago Region,2
402,Milton.,Theft and Related Offences,2023,Otago Region,1
403,Halfway Bush.,Acts Intended to Cause Injury,2023,Otago Region,1
404,High St-Stuart St.,Acts Intended to Cause Injury,2023,Otago Region,2
405,Stuart St-Frederick St.,Acts Intended to Cause Injury,2023,Otago Region,2
406,Alexandra.,Acts Intended to Cause Injury,2023,Otago Region,2
407,Stuart St-Frederick St.,Acts Intended to Cause Injury,2023,Otago Region,2
408,Milton.,Acts Intended to Cause Injury,2023,Otago Region,1
409,Corstorphine East.,Acts Intended to Cause Injury,2023,Otago Region,1
410,Bruce.,Acts Intended to Cause Injury,2023,Otago Region,1
